houseCode,partner,province,municipality,barangay,img_house,_location_latitude,_location_longitude,_location_precision,meta/instanceID,_uuid,_submission_time
B_PH083746016_4MAC034,IFRC,Leyte,Tabontabon,District IV Poblacion,1404791958302.jpg,11.04256876,124.9706078,4,uuid:068e2751-9734-48fc-ba60-0ce9b7fb742c,068e2751-9734-48fc-ba60-0ce9b7fb742c,2014-09-29T00:56:18
B_PH083746016_4MAC030,IFRC,Leyte,Tabontabon,District IV Poblacion,1404792786147.jpg,11.04415881,124.9659487,5,uuid:b82e159c-9620-4384-a487-8f9c878f887f,b82e159c-9620-4384-a487-8f9c878f887f,2014-09-29T00:56:21
B_PH083746010_MER102,IFRC,Leyte,Tabontabon,Mering,1411799464476.jpg,11.05467036,124.9598248,3,uuid:8eacbd99-b2da-48f1-8005-96cc09e049bc,8eacbd99-b2da-48f1-8005-96cc09e049bc,2014-09-29T00:56:24
B_PH083746010_MER105,IFRC,Leyte,Tabontabon,Mering,1411799924525.jpg,11.05518723,124.9603255,5,uuid:9a1fb93b-67ca-4834-b71f-d16655bc2c25,9a1fb93b-67ca-4834-b71f-d16655bc2c25,2014-09-29T00:56:27
B_PH083746010_MER017,IFRC,Leyte,Tabontabon,Mering,1411800712756.jpg,11.05378381,124.9568565,4,uuid:d9e65eec-04cf-4b99-836c-b535f23e0546,d9e65eec-04cf-4b99-836c-b535f23e0546,2014-09-29T00:56:29
B_PH083746010_MER103,IFRC,Leyte,Tabontabon,Mering,1411801024440.jpg,11.0536367,124.9565595,4,uuid:a4b7b9d4-ec09-48d3-b570-d1391ddbc114,a4b7b9d4-ec09-48d3-b570-d1391ddbc114,2014-09-29T00:56:31
B_PH083746010_MER015,IFRC,Leyte,Tabontabon,Mering,1411804143617.jpg,11.03977334,124.9568785,5,uuid:25cac116-0c13-49a1-8740-2ae1817cba6f,25cac116-0c13-49a1-8740-2ae1817cba6f,2014-09-29T00:56:33
B_PH083746010_MER019,IFRC,Leyte,Tabontabon,Mering,1411804377482.jpg,11.03976812,124.9569051,4,uuid:1a982f70-bdf6-4528-a473-3361513846f1,1a982f70-bdf6-4528-a473-3361513846f1,2014-09-29T00:56:35
B_PH083746016_4MAC017,IFRC,Leyte,Tabontabon,District IV Poblacion,1411785598622.jpg,11.04267571,124.9714446,5,uuid:1c5162d5-6b90-40ff-b6b0-a78959cb50e1,1c5162d5-6b90-40ff-b6b0-a78959cb50e1,2014-09-29T00:59:46
B_PH083746016_4MAC017,IFRC,Leyte,Tabontabon,District IV Poblacion,1411785955133.jpg,11.04270941,124.9713849,5,uuid:0fe6b2b0-3937-4fc6-94d2-4c420cd5c6a2,0fe6b2b0-3937-4fc6-94d2-4c420cd5c6a2,2014-09-29T00:59:48
B_PH083746016_4MAC019,IFRC,Leyte,Tabontabon,District IV Poblacion,1411786278959.jpg,11.04293232,124.9714144,3,uuid:3de2ccf1-6fc6-4db1-8e9d-0a80d28f8662,3de2ccf1-6fc6-4db1-8e9d-0a80d28f8662,2014-09-29T00:59:53
B_PH083746016_4MAC013,IFRC,Leyte,Tabontabon,District IV Poblacion,1411786861120.jpg,11.04345896,124.9700965,5,uuid:03c6dc8d-19fb-444e-a739-e4f8c64f9fba,03c6dc8d-19fb-444e-a739-e4f8c64f9fba,2014-09-29T00:59:58
B_PH083746016_4MAC014,IFRC,Leyte,Tabontabon,District IV Poblacion,1411787583080.jpg,11.04272485,124.9666126,5,uuid:9e3b86c9-115b-46e0-bfdf-57b7fb6ad881,9e3b86c9-115b-46e0-bfdf-57b7fb6ad881,2014-09-29T01:00:02
B_PH083746016_4MAC015,IFRC,Leyte,Tabontabon,District IV Poblacion,1411788477092.jpg,11.04377053,124.965696,3,uuid:9b08c59a-8d49-4a7f-9143-d8c2e587ba8a,9b08c59a-8d49-4a7f-9143-d8c2e587ba8a,2014-09-29T01:00:05
B_PH083746016_4MAC011,IFRC,Leyte,Tabontabon,District IV Poblacion,1411789219587.jpg,11.04457089,124.9665479,5,uuid:258797b1-9ad0-4ae7-819a-05ff36c46a0f,258797b1-9ad0-4ae7-819a-05ff36c46a0f,2014-09-29T01:01:26
B_PH083746016_4MAC010,IFRC,Leyte,Tabontabon,District IV Poblacion,1411789770168.jpg,11.04489625,124.9678774,5,uuid:0f858320-26bd-49b3-bfa4-dfff5a0f9d37,0f858320-26bd-49b3-bfa4-dfff5a0f9d37,2014-09-29T01:01:29
B_PH083746010_MER125,IFRC,Leyte,Tabontabon,Mering,1411798229469.jpg,11.05237213,124.9617026,5,uuid:33cb54cc-21dd-4bfe-bc65-7e595234536a,33cb54cc-21dd-4bfe-bc65-7e595234536a,2014-09-29T01:01:31
B_PH083746010_MER127,IFRC,Leyte,Tabontabon,Mering,1411798559850.jpg,11.0523351,124.9617909,5,uuid:585b7147-3e06-4768-a06f-ffcac33b896d,585b7147-3e06-4768-a06f-ffcac33b896d,2014-09-29T01:01:34
B_PH083746010_MER129,IFRC,Leyte,Tabontabon,Mering,1411803811897.jpg,11.03835305,124.9534581,5,uuid:7b704e6f-7677-417e-ae26-2c450a748c7d,7b704e6f-7677-417e-ae26-2c450a748c7d,2014-09-29T01:01:36
B_PH083746010_MER128,IFRC,Leyte,Tabontabon,Mering,1411804058506.jpg,11.03823594,124.9535751,5,uuid:c3ce94f2-e2c2-4098-8ab4-d175f4f9b79a,c3ce94f2-e2c2-4098-8ab4-d175f4f9b79a,2014-09-29T01:01:40
B_PH083746010_MER133,IFRC,Leyte,Tabontabon,Mering,1411804266374.jpg,11.03816535,124.9535147,4,uuid:93ea8239-b0fa-4e7f-a3e2-816f88fbe7ba,93ea8239-b0fa-4e7f-a3e2-816f88fbe7ba,2014-09-29T01:01:42
B_PH083746016_4MAC055,IFRC,Leyte,Tabontabon,District IV Poblacion,1410419060510.jpg,11.04312675,124.9684367,4,uuid:8bdcbcbf-8127-4995-93aa-564f98ed4c86,8bdcbcbf-8127-4995-93aa-564f98ed4c86,2014-09-29T01:15:00
B_PH083746016_4MAC049,IFRC,Leyte,Tabontabon,District IV Poblacion,1410419762391.jpg,11.04319243,124.9660108,4,uuid:d711ca89-7163-4343-8742-3dc20147e33a,d711ca89-7163-4343-8742-3dc20147e33a,2014-09-29T01:15:03
B_PH083746016_4MAC053,IFRC,Leyte,Tabontabon,District IV Poblacion,1410420167428.jpg,11.0434967,124.9660774,5,uuid:0e2d8962-71e7-4166-bbf9-1acc065dd09f,0e2d8962-71e7-4166-bbf9-1acc065dd09f,2014-09-29T01:15:05
B_PH083746016_4MAC050,IFRC,Leyte,Tabontabon,District IV Poblacion,1410420974623.jpg,11.0450597,124.9645562,5,uuid:2c4a8b96-b849-4e1f-9559-36d5b20ea67a,2c4a8b96-b849-4e1f-9559-36d5b20ea67a,2014-09-29T01:15:07
B_PH083746016_4MAC056,IFRC,Leyte,Tabontabon,District IV Poblacion,1410421843301.jpg,11.04274314,124.9625621,4,uuid:0e80f125-8a9a-4089-8e18-c7d28d0b3078,0e80f125-8a9a-4089-8e18-c7d28d0b3078,2014-09-29T01:15:09
B_PH083746010_MER140,IFRC,Leyte,Tabontabon,Mering,1411796492079.jpg,11.05507693,124.9599693,5,uuid:327e74ba-93c7-4ee4-a56d-ae59af1a80f8,327e74ba-93c7-4ee4-a56d-ae59af1a80f8,2014-09-29T01:15:12
B_PH083746010_MER139,IFRC,Leyte,Tabontabon,Mering,1411796796552.jpg,11.05495677,124.959888,5,uuid:d296b569-ed40-4022-9013-80de452d7c0d,d296b569-ed40-4022-9013-80de452d7c0d,2014-09-29T01:15:14
B_PH083746010_MER135,IFRC,Leyte,Tabontabon,Mering,1411797440682.jpg,11.05330118,124.9595712,4,uuid:6828e46e-c2d8-4ff6-b13c-6a5a9cf57fbb,6828e46e-c2d8-4ff6-b13c-6a5a9cf57fbb,2014-09-29T01:15:16
B_PH083746010_MER136,IFRC,Leyte,Tabontabon,Mering,1411798209050.jpg,11.05240188,124.9617481,3,uuid:cd4436cd-79bc-4cd6-af8e-1c2af931fd40,cd4436cd-79bc-4cd6-af8e-1c2af931fd40,2014-09-29T01:15:18
B_PH083746010_MER138,IFRC,Leyte,Tabontabon,Mering,1411799231333.jpg,11.05479235,124.9604988,3,uuid:d3173be4-de6a-41ff-b025-9604fe7d9936,d3173be4-de6a-41ff-b025-9604fe7d9936,2014-09-29T01:15:20
B_PH083746016_4MAC015,IFRC,Leyte,Tabontabon,District IV Poblacion,1411788818108.jpg,11.04376406,124.9656797,5,uuid:865ff036-9ca3-4b6d-95d8-4a513b14b932,865ff036-9ca3-4b6d-95d8-4a513b14b932,2014-09-29T05:07:59
B_PH083746006_CAP012,IFRC,Leyte,Tabontabon,Capahuan,1411970018924.jpg,11.05217614,124.9414048,5,uuid:ef9527d8-2e1a-40d4-9dd3-8c65b8507abc,ef9527d8-2e1a-40d4-9dd3-8c65b8507abc,2014-09-29T09:02:39
B_PH083746010_MER112,IFRC,Leyte,Tabontabon,Mering,1411379198207.jpg,11.05452613,124.9597598,5,uuid:7d1cd32a-e20e-42bd-8233-c8fcf53a9a02,7d1cd32a-e20e-42bd-8233-c8fcf53a9a02,2014-09-29T09:03:07
B_PH083746006_CAP004,IFRC,Leyte,Tabontabon,Capahuan,1411970261799.jpg,11.05215772,124.9417368,5,uuid:e654215c-0af8-4b45-bb06-66a37c3cf85b,e654215c-0af8-4b45-bb06-66a37c3cf85b,2014-09-29T09:04:21
B_PH083746010_MER110,IFRC,Leyte,Tabontabon,Mering,1411381146838.jpg,11.05326469,124.9585323,3,uuid:58aea3b5-75fa-4b85-89cb-f56cc1d16e5e,58aea3b5-75fa-4b85-89cb-f56cc1d16e5e,2014-09-29T09:04:25
B_PH083746010_MER109,IFRC,Leyte,Tabontabon,Mering,1411380591804.jpg,11.05331914,124.9587512,5,uuid:0af312bd-51b0-4504-9f60-963f050a9c7c,0af312bd-51b0-4504-9f60-963f050a9c7c,2014-09-29T09:04:27
B_PH083746006_CAP027,IFRC,Leyte,Tabontabon,Capahuan,1411970508374.jpg,11.05223707,124.9420237,5,uuid:956defb5-17f2-404f-8765-270418e1d7a1,956defb5-17f2-404f-8765-270418e1d7a1,2014-09-29T09:05:50
B_PH083746010_MER171,IFRC,Leyte,Tabontabon,Mering,1411385144034.jpg,11.03860985,124.9535785,5,uuid:23bbc011-d88f-41cc-ac56-a01451d8dc2a,23bbc011-d88f-41cc-ac56-a01451d8dc2a,2014-09-29T09:05:53
B_PH083746010_MER175,IFRC,Leyte,Tabontabon,Mering,1411385754887.jpg,11.03871783,124.9532498,4,uuid:ce6e35c0-4437-4afd-9c18-278ef2d878a2,ce6e35c0-4437-4afd-9c18-278ef2d878a2,2014-09-29T09:07:08
B_PH083746006_CAP011,IFRC,Leyte,Tabontabon,Capahuan,1411970748884.jpg,11.05250347,124.9417693,5,uuid:6257d8ec-d73b-4c04-ac0c-63f1278dcddc,6257d8ec-d73b-4c04-ac0c-63f1278dcddc,2014-09-29T09:07:13
B_PH083746010_MER086,IFRC,Leyte,Tabontabon,Mering,1411386334292.jpg,11.0391683,124.9529214,4,uuid:74840524-0c80-483e-9522-22f67b7f6eac,74840524-0c80-483e-9522-22f67b7f6eac,2014-09-29T09:07:20
B_PH083746010_MER174,IFRC,Leyte,Tabontabon,Mering,1411387161875.jpg,11.038345,124.9536995,3,uuid:b8b5811a-043c-4876-9696-184a3aba9f31,b8b5811a-043c-4876-9696-184a3aba9f31,2014-09-29T09:08:24
B_PH083746006_CAP082,IFRC,Leyte,Tabontabon,Capahuan,1411971033550.jpg,11.05265458,124.9420006,5,uuid:b3321e13-325b-4a79-8982-2129a4229fa8,b3321e13-325b-4a79-8982-2129a4229fa8,2014-09-29T09:09:00
B_PH083746013_1QUE057,IFRC,Leyte,Tabontabon,District I Poblacion,1411958125347.jpg,11.04047153,124.9599305,5,uuid:64ee9789-e08f-45b1-ba7c-dceb8e0870c1,64ee9789-e08f-45b1-ba7c-dceb8e0870c1,2014-09-29T09:09:58
B_PH083746006_CAP002,IFRC,Leyte,Tabontabon,Capahuan,1411971414530.jpg,11.05346254,124.9423235,4,uuid:abaf18d6-7c2f-4da0-bf14-1b328c48be96,abaf18d6-7c2f-4da0-bf14-1b328c48be96,2014-09-29T09:10:24
B_PH083746006_CAP072,IFRC,Leyte,Tabontabon,Capahuan,1411969865618.jpg,11.06326536,124.9481788,4,uuid:f47fd6e2-1686-4221-be48-de9638affc2d,f47fd6e2-1686-4221-be48-de9638affc2d,2014-09-29T09:12:48
B_PH083746006_CAP031,IFRC,Leyte,Tabontabon,Capahuan,1411972545848.jpg,11.0538329,124.942438,4,uuid:b19d7357-9a24-4f26-9528-8647e5386c1d,b19d7357-9a24-4f26-9528-8647e5386c1d,2014-09-29T09:13:05
B_PH083746006_CAP044,IFRC,Leyte,Tabontabon,Capahuan,1411970727978.jpg,11.06234883,124.9489517,3,uuid:f596c9c8-649d-4e1c-b374-86fb17ae4854,f596c9c8-649d-4e1c-b374-86fb17ae4854,2014-09-29T09:13:51
B_PH083746006_CAP036,IFRC,Leyte,Tabontabon,Capahuan,1411973678936.jpg,11.05411714,124.9430828,5,uuid:1d70e555-ceaa-471c-94fb-24af9a970271,1d70e555-ceaa-471c-94fb-24af9a970271,2014-09-29T09:14:25
B_PH083746006_CAP069,IFRC,Leyte,Tabontabon,Capahuan,1411971662298.jpg,11.05337612,124.9423103,5,uuid:9e78984a-3ed9-483d-9e26-42f6c4315093,9e78984a-3ed9-483d-9e26-42f6c4315093,2014-09-29T09:14:26
B_PH083746006_CAP073,IFRC,Leyte,Tabontabon,Capahuan,1411974222133.jpg,11.05911398,124.9504495,3,uuid:59d926b2-872a-47df-9f3f-048f3def4885,59d926b2-872a-47df-9f3f-048f3def4885,2014-09-29T09:15:02
B_PH083746006_CAP081,IFRC,Leyte,Tabontabon,Capahuan,1411972269382.jpg,11.05366716,124.9422842,5,uuid:5a2412a1-4e90-44bb-9b4d-94713c1d48c3,5a2412a1-4e90-44bb-9b4d-94713c1d48c3,2014-09-29T09:15:40
B_PH083746006_CAP047,IFRC,Leyte,Tabontabon,Capahuan,1411975080808.jpg,11.05907254,124.9504501,5,uuid:f380c134-3770-4c24-875d-f69183578d26,f380c134-3770-4c24-875d-f69183578d26,2014-09-29T09:16:00
B_PH083746006_CAP048,IFRC,Leyte,Tabontabon,Capahuan,1411974776819.jpg,11.05911815,124.9504594,4,uuid:7a7bb6c6-bf31-4f87-b8e6-c84bf60c17db,7a7bb6c6-bf31-4f87-b8e6-c84bf60c17db,2014-09-29T09:16:05
B_PH083746006_CAP005,IFRC,Leyte,Tabontabon,Capahuan,1411974144397.jpg,11.05445861,124.9452172,5,uuid:b92cfd78-e461-45ff-94b3-eaf2b8c695ec,b92cfd78-e461-45ff-94b3-eaf2b8c695ec,2014-09-29T09:16:30
B_PH083746006_CAP014,IFRC,Leyte,Tabontabon,Capahuan,1411975444075.jpg,11.05910781,124.9505048,3,uuid:1aed2f54-7c10-438e-a6ea-e9fcc89676cb,1aed2f54-7c10-438e-a6ea-e9fcc89676cb,2014-09-29T09:17:00
B_PH083746006_CAP061,IFRC,Leyte,Tabontabon,Capahuan,1411972831251.jpg,11.05403656,124.9429354,5,uuid:cc20da62-2f10-48d0-998d-a7fca9b5c122,cc20da62-2f10-48d0-998d-a7fca9b5c122,2014-09-29T09:17:28
B_PH083746006_CAP032,IFRC,Leyte,Tabontabon,Capahuan,1411976254223.jpg,11.06031867,124.949547,4,uuid:c624c2e0-6de8-4cde-9e44-277b65bc2777,c624c2e0-6de8-4cde-9e44-277b65bc2777,2014-09-29T09:18:01
B_PH083746006_CAP021,IFRC,Leyte,Tabontabon,Capahuan,1411973124043.jpg,11.05407429,124.9430053,4,uuid:773bb09e-1258-449a-bf71-1ac0fcd48978,773bb09e-1258-449a-bf71-1ac0fcd48978,2014-09-29T09:18:35
B_PH083746006_CAP030,IFRC,Leyte,Tabontabon,Capahuan,1411976706937.jpg,11.06018077,124.9488238,4,uuid:445ef4cc-6907-49b7-bd03-a85b9349a35e,445ef4cc-6907-49b7-bd03-a85b9349a35e,2014-09-29T09:19:01
B_PH083746006_CAP022,IFRC,Leyte,Tabontabon,Capahuan,1411973394368.jpg,11.05413784,124.9430386,5,uuid:5453c256-3ea9-42ac-a932-92b696c9c04a,5453c256-3ea9-42ac-a932-92b696c9c04a,2014-09-29T09:19:16
B_PH083746006_CAP058,IFRC,Leyte,Tabontabon,Capahuan,1411974399491.jpg,11.05464891,124.9452766,5,uuid:93d48877-6ee9-4a75-8ce2-54b58de2a3fe,93d48877-6ee9-4a75-8ce2-54b58de2a3fe,2014-09-29T09:21:08
B_PH083746010_MER111,IFRC,Leyte,Tabontabon,Mering,1411379611242.jpg,11.05476094,124.9598776,5,uuid:ce304371-facb-46db-b4b9-c9dd38dd5ee2,ce304371-facb-46db-b4b9-c9dd38dd5ee2,2014-09-29T09:32:17
B_PH083746010_MER108,IFRC,Leyte,Tabontabon,Mering,1411380856350.jpg,11.05321403,124.9588002,4,uuid:9f2584ab-a571-495c-adfa-7ff06782415e,9f2584ab-a571-495c-adfa-7ff06782415e,2014-09-29T09:33:05
B_PH083746010_MER085,IFRC,Leyte,Tabontabon,Mering,1411386614406.jpg,11.03921832,124.9528065,3,uuid:9301a6f3-eab9-4cdb-8d4a-a21a71ba5a75,9301a6f3-eab9-4cdb-8d4a-a21a71ba5a75,2014-09-29T09:35:13
B_PH083746013_1QUE051,IFRC,Leyte,Tabontabon,District I Poblacion,1411958895247.jpg,11.0395208,124.9619031,3,uuid:07da8e4a-eba2-4f43-b307-d1adfbc449c2,07da8e4a-eba2-4f43-b307-d1adfbc449c2,2014-09-29T09:36:06
B_PH083746013_1QUE059,IFRC,Leyte,Tabontabon,District I Poblacion,1411959682690.jpg,11.04195233,124.9625745,4,uuid:3e60ae20-8434-4818-9a3c-365a131d27b1,3e60ae20-8434-4818-9a3c-365a131d27b1,2014-09-29T09:36:45
B_PH083746006_CAP055,IFRC,Leyte,Tabontabon,Capahuan,1411964657877.jpg,11.06095428,124.9494917,5,uuid:6c0651ba-d880-4796-b3b3-f6dacdc9322e,6c0651ba-d880-4796-b3b3-f6dacdc9322e,2014-09-29T09:36:48
B_PH083746006_CAP075,IFRC,Leyte,Tabontabon,Capahuan,1411968761855.jpg,11.06545205,124.9498675,5,uuid:611ece2d-d49d-45f6-9a38-79614a7d11f8,611ece2d-d49d-45f6-9a38-79614a7d11f8,2014-09-29T09:37:53
B_PH083746006_CAP045,IFRC,Leyte,Tabontabon,Capahuan,1411970393254.jpg,11.06250534,124.9487944,3,uuid:39bde685-2201-401e-815b-c59ad4929ea6,39bde685-2201-401e-815b-c59ad4929ea6,2014-09-29T09:39:49
B_PH083746006_CAP064,IFRC,Leyte,Tabontabon,Capahuan,1411971091476.jpg,11.0617779,124.9493207,4,uuid:59a1cedf-27bc-4ca7-b2f6-3ae7206f09ed,59a1cedf-27bc-4ca7-b2f6-3ae7206f09ed,2014-09-29T09:40:31
B_PH083746006_CAP087,IFRC,Leyte,Tabontabon,Capahuan,1411971915955.jpg,11.05337208,124.9423382,5,uuid:4383fff5-8cce-4ddf-8adb-8962c8176c4c,4383fff5-8cce-4ddf-8adb-8962c8176c4c,2014-09-29T09:40:49
B_PH083746006_CAP016,IFRC,Leyte,Tabontabon,Capahuan,1411971493941.jpg,11.061074,124.9498958,5,uuid:e2487b9b-0303-40f4-9fcd-17514c824ca3,e2487b9b-0303-40f4-9fcd-17514c824ca3,2014-09-29T09:41:21
B_PH083746006_CAP017,IFRC,Leyte,Tabontabon,Capahuan,1411971887923.jpg,11.06106931,124.9498895,4,uuid:2bb50cd4-30e9-4bcb-94f6-e45194cc6d76,2bb50cd4-30e9-4bcb-94f6-e45194cc6d76,2014-09-29T09:41:57
B_PH083746006_CAP023,IFRC,Leyte,Tabontabon,Capahuan,1411972495628.jpg,11.06072882,124.948944,4,uuid:cea04fb5-b736-498f-8cea-0e30526574dc,cea04fb5-b736-498f-8cea-0e30526574dc,2014-09-29T09:42:27
B_PH083746006_CAP068,IFRC,Leyte,Tabontabon,Capahuan,1411972767118.jpg,11.06071938,124.9488254,4,uuid:6568abc1-a3cb-463d-9f8e-1c8b51db29d3,6568abc1-a3cb-463d-9f8e-1c8b51db29d3,2014-09-29T09:43:11
B_PH083746016_4MAC067,IFRC,Leyte,Tabontabon,District IV Poblacion,1403689846154.jpg,11.0430855,124.9671952,5,uuid:590a524d-e5d8-436a-80c4-b292b2055754,590a524d-e5d8-436a-80c4-b292b2055754,2014-09-29T09:44:44
B_PH083746006_CAP054,IFRC,Leyte,Tabontabon,Capahuan,1411975867443.jpg,11.05895498,124.9505638,5,uuid:35e694d5-c6d7-4b55-8774-58f20ee54dc6,35e694d5-c6d7-4b55-8774-58f20ee54dc6,2014-09-29T09:44:53
B_PH083746006_CAP066,IFRC,Leyte,Tabontabon,Capahuan,1411977053872.jpg,11.06004921,124.9489255,4,uuid:9160ec58-44db-4bbb-b6c2-e00df05423d2,9160ec58-44db-4bbb-b6c2-e00df05423d2,2014-09-29T09:45:19
B_PH083746016_4MAC069,IFRC,Leyte,Tabontabon,District IV Poblacion,1403690879221.jpg,11.04311448,124.9698998,5,uuid:0ffdcf63-ebe2-4746-acaf-eb7fe1f8c836,0ffdcf63-ebe2-4746-acaf-eb7fe1f8c836,2014-09-29T09:45:20
B_PH083746016_4MAC070,IFRC,Leyte,Tabontabon,District IV Poblacion,1403691393263.jpg,11.04259739,124.9703369,4,uuid:b1d6b5d3-e46b-4ba0-a3ea-0efa320c67aa,b1d6b5d3-e46b-4ba0-a3ea-0efa320c67aa,2014-09-29T09:45:50
B_PH083746010_MER060,IFRC,Leyte,Tabontabon,Mering,1403703535902.jpg,11.05283345,124.9591783,4,uuid:647f5758-88a7-4240-8f64-10254c90727a,647f5758-88a7-4240-8f64-10254c90727a,2014-09-29T09:46:47
B_PH083746016_4MAC071,IFRC,Leyte,Tabontabon,District IV Poblacion,1403691879654.jpg,11.04162481,124.9688117,5,uuid:42916b8a-e08d-4867-a0bd-7c305852507b,42916b8a-e08d-4867-a0bd-7c305852507b,2014-09-29T09:46:52
B_PH083746010_MER059,IFRC,Leyte,Tabontabon,Mering,1403704169791.jpg,11.05198162,124.9616849,5,uuid:e736345f-8fb7-4fe6-95ef-354ac3066483,e736345f-8fb7-4fe6-95ef-354ac3066483,2014-09-29T09:47:19
